,0,1
0,Paradise Biryani,Royal Chicken Dum Biryani With Half Chicken Fiery Kebab
0,Paradise Biryani,Royal Chicken Dum Biryani With Gulab Jamun
0,Paradise Biryani,Nizami Chicken Dum Biryani With Gulab Jamun
0,Paradise Biryani,Royal Chicken Dum Biryani With Double Ka Meetha
0,Paradise Biryani,Nizami Chicken Dum Biryani With Double Ka Meetha
0,Paradise Biryani,Special Veg Dum Biryani With Gulab Jamun
0,Paradise Biryani,Special Veg Dum Biryani With Double Ka Meetha
0,Paradise Biryani,2 Mini Chicken Dum Biryani
0,Paradise Biryani,Supreme Chicken Dum Biryani (Serves 4-5)
0,Paradise Biryani,Supreme Veg Dum Biryani (Serves 4-5)
0,Paradise Biryani,Supreme Mutton Dum Biryani (Serves 4-5)
0,Paradise Biryani,Dakshin-e-Khaas Kebabs
0,Paradise Biryani,Chicken Fiery Kebab
0,Paradise Biryani,Royal Chicken Dum Biryani (Serves 1)
0,Paradise Biryani,Nizami Chicken Dum Biryani (Serves 1-2)
0,Paradise Biryani,Special Chicken Dum Biryani (Double Meat)
0,Paradise Biryani,Chicken Dum Biryani Family Pack (Serves 3-4)
0,Paradise Biryani,Nizami Mutton Dum Biryani (Serves 1-2)
0,Paradise Biryani,Special Mutton Dum Biryani (Serves 2)
0,Paradise Biryani,Royal Mutton Dum Biryani (Serves 1)
0,Paradise Biryani,Special Veg Dum Biryani (Serves 1-2)
0,Paradise Biryani,Egg Biryani (Serves 1-2)
0,Paradise Biryani,Kadai Paneer
0,Paradise Biryani,Paneer Butter Masala
0,Paradise Biryani,Kadai Vegetable
0,Paradise Biryani,Butter Chicken.
0,Paradise Biryani,Veg Manchurian
0,Paradise Biryani,Chicken 65
0,Paradise Biryani,Paradise Biryani Kit
0,Paradise Biryani,Coke Pet 250ML
0,Paradise Biryani,Maaza Pet 600ML
0,Paradise Biryani,Coke Pet 750ML
0,Paradise Biryani,Sprite Pet 750ML
0,Paradise Biryani,Thums Up Pet 750 ML
0,Paradise Biryani,Gulab Jamun
0,Paradise Biryani,Double Ka Meetha
0,Paradise Biryani,Special Fruit Biscuit Box 500 Gm
0,Paradise Biryani,Special Kaju Biscuit Box 500 Gm
0,Paradise Biryani,Special Pista Biscuit Box 500 Gm
0,Paradise Biryani,Osmania Biscuit Box 500 Gm
